SoyAlvaro Lopez me dispongo a pimplar cerveza
SoyAlvaro Lopez me dispongo a pimplar cerveza
SoyAlvaro Lopez me dispongo a pimplar cerveza
SoyAlvaro Lopez me dispongo a pimplar cerveza
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 0.3 cl, y su tasa de alcoholemia UBE es de : 0.0010800001
Alvaro Lopez se ha terminado su vaso, va a por otro.
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 0.6 cl, y su tasa de alcoholemia UBE es de : 0.0021600001
Alvaro Lopez se ha terminado su vaso, va a por otro.
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 0.90000004 cl, y su tasa de alcoholemia UBE es de : 0.0032400002
Alvaro Lopez se ha terminado su vaso, va a por otro.
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 1.2 cl, y su tasa de alcoholemia UBE es de : 0.0043200003
Alvaro Lopez se ha terminado su vaso, va a por otro.
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 1.5 cl, y su tasa de alcoholemia UBE es de : 0.0054
Alvaro Lopez se ha terminado su vaso, va a por otro.
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 1.8 cl, y su tasa de alcoholemia UBE es de : 0.0064799995
Alvaro Lopez se ha terminado su vaso, va a por otro.
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 2.1 cl, y su tasa de alcoholemia UBE es de : 0.00756
Alvaro Lopez se ha terminado su vaso, va a por otro.
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 2.3999999 cl, y su tasa de alcoholemia UBE es de : 0.00864
Alvaro Lopez se ha terminado su vaso, va a por otro.
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 2.6999998 cl, y su tasa de alcoholemia UBE es de : 0.00972
Alvaro Lopez se ha terminado su vaso, va a por otro.
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 2.9999998 cl, y su tasa de alcoholemia UBE es de : 0.010799999
Alvaro Lopez se ha terminado su vaso, va a por otro.
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 3.2999997 cl, y su tasa de alcoholemia UBE es de : 0.011879999
Alvaro Lopez se ha terminado su vaso, va a por otro.
Alvaro Lopez se ha bebido un vaso. Lleva bebidos 3.5999997 cl, y su tasa de alcoholemia UBE es de : 0.012959999
