SoyCristina Carrillo me dispongo a pimplar cerveza
SoyCristina Carrillo me dispongo a pimplar cerveza
SoyCristina Carrillo me dispongo a pimplar cerveza
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 cl, y su tasa de alcoholemia UBE es de : 0.0010800001
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 cl, y su tasa de alcoholemia UBE es de : 0.0021600001
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 27.900005 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 27.600006 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.0324 En el barril quedan 24.300014 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.0432 En el barril quedan 21.90002 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.5 l, y su tasa de alcoholemia UBE es de : 0.054 En el barril quedan 18.30003 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 1.8 l, y su tasa de alcoholemia UBE es de : 0.064799994 En el barril quedan 15.900035 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.1 l, y su tasa de alcoholemia UBE es de : 0.0756 En el barril quedan 14.100034 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.3999999 l, y su tasa de alcoholemia UBE es de : 0.086399995 En el barril quedan 12.600033 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.6999998 l, y su tasa de alcoholemia UBE es de : 0.097200006 En el barril quedan 11.700032 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 2.9999998 l, y su tasa de alcoholemia UBE es de : 0.107999995 En el barril quedan 9.0000305 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.2999997 l, y su tasa de alcoholemia UBE es de : 0.11879999 En el barril quedan 6.0000286 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.5999997 l, y su tasa de alcoholemia UBE es de : 0.12959999 En el barril quedan 5.400028 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 3.8999996 l, y su tasa de alcoholemia UBE es de : 0.14039999 En el barril quedan 4.5000277 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 4.2 l, y su tasa de alcoholemia UBE es de : 0.1512 En el barril quedan 1.8000278 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
SoyCristina Carrillo me dispongo a pimplar cerveza
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 28.200005 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 27.600006 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
Cristina Carrillo se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.0324 En el barril quedan 24.900013 l
Cristina Carrillo se ha terminado su vaso, va a por otro.
