SoyJaime Sánchez me dispongo a pimplar cerveza
SoyJaime Sánchez me dispongo a pimplar cerveza
SoyJaime Sánchez me dispongo a pimplar cerveza
SoyJaime Sánchez me dispongo a pimplar cerveza
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.3 cl, y su tasa de alcoholemia UBE es de : 0.0010800001
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.6 cl, y su tasa de alcoholemia UBE es de : 0.0021600001
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.90000004 cl, y su tasa de alcoholemia UBE es de : 0.0032400002
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 1.2 cl, y su tasa de alcoholemia UBE es de : 0.0043200003
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 1.5 cl, y su tasa de alcoholemia UBE es de : 0.0054
Jaime Sánchez se ha terminado su vaso, va a por otro.
SoyJaime Sánchez me dispongo a pimplar cerveza
SoyJaime Sánchez me dispongo a pimplar cerveza
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 27.300007 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 26.40001 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.0324 En el barril quedan 24.600014 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.0432 En el barril quedan 20.400024 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 1.5 l, y su tasa de alcoholemia UBE es de : 0.054 En el barril quedan 17.700031 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 1.8 l, y su tasa de alcoholemia UBE es de : 0.064799994 En el barril quedan 12.600033 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 2.1 l, y su tasa de alcoholemia UBE es de : 0.0756 En el barril quedan 8.70003 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 2.3999999 l, y su tasa de alcoholemia UBE es de : 0.086399995 En el barril quedan 5.400028 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 2.6999998 l, y su tasa de alcoholemia UBE es de : 0.097200006 En el barril quedan 3.9000275 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 2.9999998 l, y su tasa de alcoholemia UBE es de : 0.107999995 En el barril quedan 3.3000276 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
SoyJaime Sánchez me dispongo a pimplar cerveza
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 26.40001 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 22.800018 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.0324 En el barril quedan 19.800026 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.0432 En el barril quedan 17.700031 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
SoyJaime Sánchez me dispongo a pimplar cerveza
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 27.900005 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.6 l, y su tasa de alcoholemia UBE es de : 0.0216 En el barril quedan 27.000008 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 0.90000004 l, y su tasa de alcoholemia UBE es de : 0.0324 En el barril quedan 24.000015 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
Jaime Sánchez se ha bebido un vaso. Lleva bebidos 1.2 l, y su tasa de alcoholemia UBE es de : 0.0432 En el barril quedan 22.50002 l
Jaime Sánchez se ha terminado su vaso, va a por otro.
