SoyMaría Sánchez me dispongo a pimplar cerveza
SoyMaría Sánchez me dispongo a pimplar cerveza
SoyMaría Sánchez me dispongo a pimplar cerveza
SoyMaría Sánchez me dispongo a pimplar cerveza
María Sánchez se ha bebido un vaso. Lleva bebidos 0.3 cl, y su tasa de alcoholemia UBE es de : 0.0010800001
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 0.6 cl, y su tasa de alcoholemia UBE es de : 0.0021600001
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 0.90000004 cl, y su tasa de alcoholemia UBE es de : 0.0032400002
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 1.2 cl, y su tasa de alcoholemia UBE es de : 0.0043200003
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 1.5 cl, y su tasa de alcoholemia UBE es de : 0.0054
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 1.8 cl, y su tasa de alcoholemia UBE es de : 0.0064799995
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 2.1 cl, y su tasa de alcoholemia UBE es de : 0.00756
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 2.3999999 cl, y su tasa de alcoholemia UBE es de : 0.00864
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 2.6999998 cl, y su tasa de alcoholemia UBE es de : 0.00972
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 2.9999998 cl, y su tasa de alcoholemia UBE es de : 0.010799999
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 3.2999997 cl, y su tasa de alcoholemia UBE es de : 0.011879999
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 3.5999997 cl, y su tasa de alcoholemia UBE es de : 0.012959999
María Sánchez se ha terminado su vaso, va a por otro.
María Sánchez se ha bebido un vaso. Lleva bebidos 3.8999996 cl, y su tasa de alcoholemia UBE es de : 0.01404
María Sánchez se ha terminado su vaso, va a por otro.
